,id,tags,lonlat,sport,leisure
4429,250252142,"{'sport': 'tennis', 'leisure': 'pitch'}","(2567359544, 2567359545, 2567359546, 2567359547, 2567359544)",tennis,pitch
4430,250495343,{'leisure': 'park'},"(2309349375, 2309349376, 2309349377, 2309349378, 2309349379, 2309349380, 2309349381, 2309349383, 2309349384, 2309349385, 2309349386, 2309349387, 2309349388, 2309349389, 2309349391, 2309349393, 2309349395, 2309349397, 2309349399, 2309349401, 2309349403, 2309349375)",,park
4431,251121141,{'leisure': 'park'},"(2574060276, 2574060277, 2574060278, 2574060279, 2574060281, 2574060282, 2574060276)",,park
4432,251124881,"{'name': 'Lapangan Bola Kaki Blang Raja', 'sport': 'soccer', 'leisure': 'pitch'}","(2574088672, 2574088666, 2574088662, 2574088664, 2574088672)",soccer,pitch
4433,251150401,"{'sport': 'swimming', 'source': 'Bing', 'leisure': 'swimming_pool'}","(2574275911, 2574275912, 2574275916, 2574275915, 2574275911)",swimming,swimming_pool
4434,251231571,"{'sport': 'tennis', 'leisure': 'pitch'}","(2574813379, 2574813377, 2574813375, 2574813381, 2574813379)",tennis,pitch
4435,251303354,"{'name': 'Lapangan Bola Kaki Pantai Rakyat', 'sport': 'soccer', 'leisure': 'pitch'}","(2575431986, 2575431984, 2575431985, 2575431987, 2575431986)",soccer,pitch
4436,251410918,{'leisure': 'park'},"(2576353828, 2576353829, 2576353830, 2576353831, 2576353832, 2576353828)",,park
4437,251433741,"{'leisure': 'pitch', 'sport': 'soccer'}","(2576524246, 2576524247, 6975641176, 2576524248, 2576524249, 2576524246)",soccer,pitch
4438,251433774,"{'leisure': 'pitch', 'sport': 'soccer'}","(2576524412, 2576524413, 2576524414, 6975651119, 2576524415, 2576524412)",soccer,pitch
4439,251443428,{'leisure': 'park'},"(2576606672, 2576606674, 2576606675, 2576606677, 2576606672)",,park
4440,251501985,"{'name': 'Lapngan Tenis', 'sport': 'tennis', 'leisure': 'pitch', 'building': 'yes'}","(2577147161, 2577147162, 2577147164, 2577147163, 2577147161)",tennis,pitch
4441,251583262,{'leisure': 'park'},"(2577846033, 2577846034, 2577846035, 2577846036, 2577846033)",,park
4442,251584999,{'leisure': 'park'},"(2577866377, 2577866378, 2577866379, 2577866380, 2577866377)",,park
4443,251585015,{'leisure': 'park'},"(2577866441, 2577866442, 2577866443, 2577866444, 2577866441)",,park
4444,251592404,{'leisure': 'park'},"(2577924522, 2577924523, 2577924524, 2577924525, 2577924522)",,park
4445,251595490,{'leisure': 'park'},"(2577942333, 2577942334, 2577942335, 2577942336, 2577942333)",,park
